inventory_id,store_id,sku_id,system_stock,physical_stock,damaged_stock,reserved_stock,reorder_level,inventory_check_date
97,1,1386,162,153,7,9,60,2026-06-30
98,1,1030,238,229,0,2,40,2026-06-30
99,1,1396,352,358,7,11,44,2026-06-30
100,1,1224,190,188,5,15,38,2026-06-30
101,1,1376,51,43,6,0,57,2026-06-30
102,1,1088,106,113,4,15,48,2026-06-30
103,1,1270,120,112,7,6,27,2026-06-30
104,1,1212,400,395,8,17,49,2026-06-30
105,1,1312,386,388,2,10,25,2026-06-30
106,1,1491,153,160,7,0,22,2026-06-30
107,1,1391,109,100,1,3,27,2026-06-30
108,1,1199,105,110,8,0,48,2026-06-30
109,1,1415,329,319,5,9,49,2026-06-30
110,1,1048,77,76,7,5,29,2026-06-30
111,1,1448,171,161,7,13,33,2026-06-30
112,1,1067,144,137,7,11,48,2026-06-30
113,1,1293,214,221,6,18,53,2026-06-30
114,1,1184,235,238,1,1,43,2026-06-30
115,1,1352,333,338,6,17,56,2026-06-30
116,1,1281,369,362,6,20,57,2026-06-30
117,1,1210,153,150,1,1,32,2026-06-30
118,1,1320,381,374,6,20,23,2026-06-30
119,1,1116,260,254,0,13,49,2026-06-30
120,1,1101,58,65,8,15,21,2026-06-30
121,1,1408,170,171,8,19,46,2026-06-30
122,1,1021,222,223,2,15,26,2026-06-30
123,1,1409,150,159,2,17,49,2026-06-30
124,1,1090,251,248,2,5,53,2026-06-30
125,1,1292,95,105,1,12,45,2026-06-30
126,1,1194,118,122,4,19,23,2026-06-30
127,1,1373,300,290,6,6,56,2026-06-30
128,1,1027,342,351,7,5,48,2026-06-30
129,1,1476,304,301,3,14,31,2026-06-30
130,1,1474,155,150,5,10,49,2026-06-30
131,1,1421,57,61,4,8,41,2026-06-30
132,1,1031,91,88,0,6,22,2026-06-30
133,1,1016,303,309,0,13,45,2026-06-30
134,1,1144,294,295,2,18,47,2026-06-30
135,1,1081,159,160,0,17,49,2026-06-30
136,1,1374,151,158,0,6,42,2026-06-30
137,1,1461,242,236,3,1,58,2026-06-30
138,1,1193,168,158,8,2,32,2026-06-30
139,1,1265,143,144,8,18,38,2026-06-30
140,1,1259,77,70,2,10,46,2026-06-30
141,1,1437,306,315,2,0,28,2026-06-30
142,1,1105,104,99,6,6,41,2026-06-30
143,1,1497,85,81,1,10,29,2026-06-30
144,1,1068,181,190,3,8,60,2026-06-30
145,1,1260,286,286,2,15,58,2026-06-30
146,1,1432,318,314,7,20,60,2026-06-30
147,1,1395,216,212,6,2,53,2026-06-30
148,1,1221,325,317,5,6,21,2026-06-30
149,1,1351,107,116,0,0,51,2026-06-30
150,1,1344,285,279,0,0,45,2026-06-30
151,2,1054,100,105,6,7,56,2026-06-30
152,2,1376,62,59,6,4,44,2026-06-30
153,2,1103,392,394,5,8,25,2026-06-30
154,2,1388,156,162,5,2,58,2026-06-30
155,2,1486,387,386,3,19,42,2026-06-30
156,2,1177,270,273,6,8,58,2026-06-30
157,2,1389,130,134,3,8,52,2026-06-30
158,2,1353,183,191,1,12,24,2026-06-30
159,2,1110,198,197,7,20,59,2026-06-30
160,2,1142,113,103,7,20,35,2026-06-30
161,2,1427,88,84,5,1,26,2026-06-30
162,2,1071,293,297,2,13,54,2026-06-30
163,2,1114,79,76,2,12,48,2026-06-30
164,2,1498,225,217,2,15,43,2026-06-30
165,2,1236,238,238,2,11,59,2026-06-30
166,2,1059,197,189,4,0,54,2026-06-30
167,2,1008,290,284,7,20,59,2026-06-30
168,2,1302,288,293,8,0,34,2026-06-30
169,2,1441,270,275,2,16,50,2026-06-30
170,2,1134,298,302,5,16,20,2026-06-30
171,2,1170,167,169,5,6,58,2026-06-30
172,2,1119,304,294,7,16,51,2026-06-30
173,2,1146,343,336,1,6,50,2026-06-30
174,2,1038,359,361,1,11,49,2026-06-30
175,2,1241,364,354,8,9,29,2026-06-30
176,2,1227,390,390,2,19,56,2026-06-30
177,2,1235,78,86,5,14,21,2026-06-30
178,2,1370,95,91,7,7,55,2026-06-30
179,2,1293,309,304,4,1,22,2026-06-30
180,2,1283,339,335,1,8,52,2026-06-30
181,2,1175,163,171,6,18,39,2026-06-30
182,2,1301,302,295,1,17,30,2026-06-30
183,2,1404,198,203,2,1,21,2026-06-30
184,2,1452,304,308,3,13,24,2026-06-30
185,2,1072,395,392,1,18,51,2026-06-30
186,2,1228,59,65,7,3,27,2026-06-30
187,2,1225,301,298,2,18,46,2026-06-30
188,2,1466,304,310,8,3,55,2026-06-30
189,2,1014,91,82,0,10,50,2026-06-30
190,2,1239,213,205,8,17,51,2026-06-30
191,2,1162,216,223,3,17,20,2026-06-30
192,2,1306,296,299,4,2,34,2026-06-30
193,2,1012,76,86,8,7,36,2026-06-30
194,2,1268,83,75,6,8,45,2026-06-30
195,2,1305,330,326,2,0,40,2026-06-30
196,2,1121,138,132,5,11,33,2026-06-30
197,2,1377,344,349,4,16,52,2026-06-30
198,2,1285,355,356,6,12,55,2026-06-30
199,2,1497,327,328,7,15,43,2026-06-30
200,2,1067,380,374,6,6,22,2026-06-30
201,2,1375,126,132,2,15,50,2026-06-30
202,2,1231,367,371,1,20,59,2026-06-30
203,2,1397,143,135,0,7,26,2026-06-30
204,2,1490,298,305,2,6,34,2026-06-30
205,2,1085,115,108,6,11,30,2026-06-30
206,2,1131,74,66,1,1,32,2026-06-30
207,2,1402,241,238,8,13,26,2026-06-30
208,2,1057,296,306,1,12,53,2026-06-30
209,2,1288,127,123,7,15,27,2026-06-30
210,2,1005,186,193,7,14,60,2026-06-30
211,2,1384,112,119,3,12,47,2026-06-30
212,2,1371,300,310,5,13,20,2026-06-30
213,2,1198,349,341,0,6,40,2026-06-30
214,2,1143,159,155,4,5,27,2026-06-30
215,2,1284,168,174,1,2,22,2026-06-30
216,2,1048,268,269,5,13,59,2026-06-30
217,2,1218,197,190,3,19,22,2026-06-30
218,2,1465,246,242,2,20,38,2026-06-30
219,2,1416,202,209,8,16,39,2026-06-30
220,2,1300,397,401,4,16,60,2026-06-30
221,2,1155,322,319,0,17,58,2026-06-30
222,2,1053,386,381,3,10,35,2026-06-30
223,2,1214,207,204,6,1,22,2026-06-30
224,2,1221,184,175,8,13,56,2026-06-30
225,2,1277,361,354,3,3,26,2026-06-30
226,2,1251,400,399,2,0,43,2026-06-30
227,2,1489,267,263,1,0,38,2026-06-30
228,2,1447,346,350,4,19,21,2026-06-30
229,2,1152,339,344,2,17,28,2026-06-30
230,2,1399,162,159,2,18,56,2026-06-30
231,2,1208,382,389,7,4,58,2026-06-30
232,2,1355,329,320,4,13,29,2026-06-30
233,2,1450,237,240,4,1,39,2026-06-30
234,2,1117,357,348,3,2,53,2026-06-30
235,2,1027,288,298,7,19,26,2026-06-30
236,2,1299,115,123,7,0,26,2026-06-30
237,2,1456,248,257,7,18,26,2026-06-30
238,2,1035,291,283,1,15,24,2026-06-30
239,2,1460,139,140,1,12,29,2026-06-30
240,2,1149,61,62,6,6,45,2026-06-30
241,2,1483,298,289,2,18,39,2026-06-30
242,2,1006,378,374,8,12,46,2026-06-30
243,2,1252,72,79,6,7,59,2026-06-30
244,2,1356,254,258,5,3,60,2026-06-30
245,2,1147,365,367,7,8,58,2026-06-30
246,2,1116,228,224,5,2,50,2026-06-30
247,2,1130,164,162,8,17,49,2026-06-30
248,2,1017,255,257,4,12,23,2026-06-30
249,2,1030,59,68,6,3,32,2026-06-30
250,2,1314,146,145,0,8,56,2026-06-30
251,2,1405,168,167,1,3,52,2026-06-30
252,2,1368,233,226,7,9,38,2026-06-30
253,2,1150,353,345,3,15,24,2026-06-30
254,2,1434,223,232,0,16,42,2026-06-30
255,2,1249,68,67,8,13,47,2026-06-30
256,2,1406,147,146,3,20,40,2026-06-30
257,2,1380,133,131,0,19,20,2026-06-30
258,2,1395,165,165,7,9,26,2026-06-30
259,2,1480,72,77,2,5,42,2026-06-30
260,2,1091,295,304,8,19,41,2026-06-30
261,2,1056,370,363,4,1,37,2026-06-30
262,2,1270,385,387,6,17,20,2026-06-30
263,2,1354,228,233,3,20,34,2026-06-30
264,2,1232,286,285,6,1,38,2026-06-30
265,2,1338,323,321,7,11,44,2026-06-30
266,2,1267,204,206,0,15,26,2026-06-30
267,2,1280,58,54,0,11,59,2026-06-30
268,2,1055,115,108,2,2,60,2026-06-30
269,2,1031,203,202,6,4,41,2026-06-30
270,2,1360,246,256,4,12,32,2026-06-30
271,2,1195,58,48,0,12,57,2026-06-30
272,2,1140,54,47,6,9,41,2026-06-30
273,2,1276,298,301,8,14,20,2026-06-30
274,2,1424,271,266,2,8,60,2026-06-30
275,2,1392,329,326,0,3,41,2026-06-30
276,2,1469,323,313,2,19,47,2026-06-30
277,2,1040,355,346,7,15,60,2026-06-30
278,2,1201,261,258,2,6,42,2026-06-30
279,2,1350,140,142,7,9,40,2026-06-30
280,2,1097,121,123,4,8,48,2026-06-30
281,2,1282,378,369,2,18,44,2026-06-30
282,2,1433,184,186,5,3,43,2026-06-30
283,2,1166,257,251,6,4,38,2026-06-30
284,2,1009,196,190,0,5,60,2026-06-30
285,2,1197,252,255,4,16,55,2026-06-30
286,2,1224,266,260,8,17,56,2026-06-30
287,2,1287,204,203,1,18,43,2026-06-30
288,2,1463,319,321,7,3,24,2026-06-30
289,2,1219,142,135,7,2,26,2026-06-30
290,2,1207,313,305,3,18,32,2026-06-30
291,2,1190,195,188,8,19,32,2026-06-30
292,2,1328,255,257,2,18,30,2026-06-30
293,2,1082,349,355,1,6,45,2026-06-30
294,2,1484,362,371,8,18,45,2026-06-30
295,2,1332,229,221,5,5,59,2026-06-30
296,2,1090,253,250,3,14,37,2026-06-30
297,2,1346,54,51,7,14,31,2026-06-30
298,2,1393,337,338,2,16,45,2026-06-30
299,2,1340,381,373,8,15,33,2026-06-30
300,2,1420,129,133,6,4,42,2026-06-30
301,3,1421,216,226,4,8,55,2026-06-30
302,3,1208,53,50,7,8,43,2026-06-30
303,3,1341,353,356,7,0,59,2026-06-30
304,3,1496,73,66,7,16,36,2026-06-30
305,3,1212,202,203,8,1,41,2026-06-30
306,3,1409,130,136,5,15,24,2026-06-30
307,3,1484,173,179,6,17,49,2026-06-30
308,3,1431,237,227,1,9,60,2026-06-30
309,3,1253,87,89,6,12,50,2026-06-30
310,3,1015,111,108,0,0,53,2026-06-30
311,3,1254,80,83,3,15,53,2026-06-30
312,3,1246,320,311,2,19,38,2026-06-30
313,3,1059,227,221,0,8,32,2026-06-30
314,3,1147,273,267,5,5,49,2026-06-30
315,3,1167,194,184,0,15,37,2026-06-30
316,3,1425,117,107,1,19,50,2026-06-30
317,3,1399,150,150,2,20,50,2026-06-30
318,3,1109,332,324,5,8,44,2026-06-30
319,3,1460,283,293,6,18,43,2026-06-30
320,3,1184,231,239,6,2,52,2026-06-30
321,3,1371,311,305,3,16,52,2026-06-30
322,3,1006,375,371,5,7,49,2026-06-30
323,3,1386,106,98,0,17,39,2026-06-30
324,3,1029,264,271,5,1,43,2026-06-30
325,3,1340,101,92,2,2,42,2026-06-30
326,3,1401,347,356,2,15,54,2026-06-30
327,3,1343,101,105,0,9,33,2026-06-30
328,3,1305,74,73,4,3,53,2026-06-30
329,3,1160,179,169,4,6,36,2026-06-30
330,3,1486,241,241,4,0,48,2026-06-30
331,3,1011,53,62,4,6,37,2026-06-30
332,3,1288,51,45,5,8,22,2026-06-30
333,3,1080,364,356,6,8,46,2026-06-30
334,3,1060,119,117,3,9,50,2026-06-30
335,3,1094,373,366,2,16,28,2026-06-30
336,3,1293,334,331,1,17,39,2026-06-30
337,3,1130,281,272,1,8,44,2026-06-30
338,3,1491,276,286,7,15,54,2026-06-30
339,3,1449,244,244,5,2,24,2026-06-30
340,3,1313,381,375,1,11,21,2026-06-30
341,3,1468,159,158,8,1,34,2026-06-30
342,3,1018,71,77,5,13,32,2026-06-30
343,3,1096,188,191,0,16,50,2026-06-30
344,3,1124,118,123,1,2,30,2026-06-30
345,3,1392,382,392,4,8,47,2026-06-30
346,3,1214,98,98,4,10,43,2026-06-30
347,3,1095,389,384,3,10,50,2026-06-30
348,3,1260,328,333,4,13,37,2026-06-30
349,3,1017,184,184,0,13,38,2026-06-30
350,3,1283,360,354,4,8,51,2026-06-30
351,3,1495,285,289,8,14,38,2026-06-30
352,3,1261,324,321,4,0,55,2026-06-30
353,3,1476,381,380,7,8,23,2026-06-30
354,3,1295,366,361,7,16,39,2026-06-30
355,3,1071,374,367,7,12,38,2026-06-30
356,3,1045,372,375,3,13,32,2026-06-30
357,3,1352,56,59,1,6,20,2026-06-30
358,3,1043,288,283,5,4,41,2026-06-30
359,3,1050,133,123,0,5,44,2026-06-30
360,3,1002,374,370,0,5,33,2026-06-30
361,3,1031,96,98,6,4,35,2026-06-30
362,3,1113,227,223,1,2,49,2026-06-30
363,3,1116,346,350,5,18,54,2026-06-30
364,3,1492,271,270,3,14,27,2026-06-30
365,3,1346,215,208,3,2,51,2026-06-30
366,3,1090,370,376,3,0,27,2026-06-30
367,3,1168,282,273,3,10,25,2026-06-30
368,3,1171,252,260,6,17,53,2026-06-30
369,3,1028,291,284,2,13,29,2026-06-30
370,3,1363,207,199,7,7,55,2026-06-30
371,3,1036,169,171,7,10,24,2026-06-30
372,3,1023,296,298,3,7,40,2026-06-30
373,3,1174,102,99,4,1,27,2026-06-30
374,3,1198,366,359,1,9,25,2026-06-30
375,3,1217,162,158,1,19,20,2026-06-30
376,3,1039,188,190,0,20,28,2026-06-30
377,3,1183,204,197,7,0,43,2026-06-30
378,3,1426,379,381,3,10,40,2026-06-30
379,3,1195,341,331,2,7,45,2026-06-30
380,3,1110,381,375,2,19,40,2026-06-30
381,3,1051,287,283,1,19,29,2026-06-30
382,3,1296,284,283,8,12,41,2026-06-30
383,3,1249,297,299,2,6,50,2026-06-30
384,3,1020,371,370,6,20,38,2026-06-30
385,3,1265,315,307,0,4,56,2026-06-30
386,3,1047,298,293,2,2,45,2026-06-30
387,3,1010,190,192,8,1,30,2026-06-30
388,3,1019,214,207,5,11,25,2026-06-30
389,3,1054,263,266,0,1,43,2026-06-30
390,3,1464,204,202,0,10,47,2026-06-30
391,3,1155,78,83,8,17,53,2026-06-30
392,3,1424,129,138,2,19,46,2026-06-30
393,3,1240,387,380,1,9,32,2026-06-30
394,3,1007,281,282,8,8,59,2026-06-30
395,3,1477,351,361,3,0,60,2026-06-30
396,3,1190,376,378,1,16,23,2026-06-30
397,3,1390,126,133,3,15,41,2026-06-30
398,3,1436,386,376,6,18,58,2026-06-30
399,3,1005,280,286,4,6,29,2026-06-30
400,3,1085,177,185,4,3,27,2026-06-30
401,3,1077,249,259,4,13,53,2026-06-30
402,3,1134,260,259,1,10,46,2026-06-30
403,3,1345,232,234,0,1,38,2026-06-30
404,3,1471,61,66,6,0,28,2026-06-30
405,3,1441,240,230,1,12,45,2026-06-30
406,3,1026,112,106,2,2,45,2026-06-30
407,3,1277,225,228,0,12,25,2026-06-30
408,3,1258,354,355,4,1,23,2026-06-30
409,3,1465,79,78,2,13,48,2026-06-30
410,3,1106,187,183,2,4,42,2026-06-30
411,3,1231,373,369,4,12,55,2026-06-30
412,3,1220,102,107,8,17,59,2026-06-30
413,3,1181,141,141,6,3,23,2026-06-30
414,3,1219,263,255,2,2,22,2026-06-30
415,3,1358,146,150,8,2,27,2026-06-30
416,3,1233,148,145,5,4,26,2026-06-30
417,3,1267,314,308,0,17,24,2026-06-30
418,3,1180,198,193,6,7,28,2026-06-30
419,3,1239,72,72,1,3,48,2026-06-30
420,3,1003,152,159,6,18,54,2026-06-30
421,3,1497,331,331,0,4,59,2026-06-30
422,3,1304,257,260,5,19,34,2026-06-30
423,3,1182,129,131,2,18,27,2026-06-30
424,3,1479,110,119,4,0,55,2026-06-30
425,3,1266,145,148,7,6,21,2026-06-30
426,3,1247,375,378,4,4,44,2026-06-30
427,3,1150,323,322,4,18,59,2026-06-30
428,3,1021,364,358,6,11,34,2026-06-30
429,3,1269,394,398,5,1,55,2026-06-30
430,3,1487,181,191,8,17,56,2026-06-30
431,3,1118,79,74,6,1,48,2026-06-30
432,3,1303,244,236,1,0,50,2026-06-30
433,3,1395,185,178,3,15,24,2026-06-30
434,3,1383,385,380,5,20,59,2026-06-30
435,3,1093,91,86,1,10,52,2026-06-30
436,3,1291,191,182,1,10,24,2026-06-30
437,3,1157,371,380,4,5,42,2026-06-30
438,3,1135,192,202,2,1,59,2026-06-30
439,3,1138,335,338,6,20,53,2026-06-30
440,3,1228,123,127,5,4,24,2026-06-30
441,3,1256,397,403,0,10,41,2026-06-30
442,3,1206,169,165,7,16,59,2026-06-30
443,3,1381,318,321,0,2,60,2026-06-30
444,3,1478,378,380,3,19,48,2026-06-30
445,3,1470,216,209,7,16,28,2026-06-30
446,3,1223,345,342,8,15,24,2026-06-30
447,3,1067,384,385,3,20,55,2026-06-30
448,3,1069,57,60,4,19,32,2026-06-30
449,3,1263,244,240,8,9,27,2026-06-30
450,3,1481,350,360,4,4,36,2026-06-30
451,4,1288,280,272,2,17,54,2026-06-30
452,4,1135,183,178,3,17,22,2026-06-30
453,4,1283,202,194,4,4,39,2026-06-30
454,4,1228,178,187,7,7,22,2026-06-30
455,4,1131,310,311,2,10,48,2026-06-30
456,4,1352,294,286,6,2,53,2026-06-30
457,4,1478,160,161,1,1,53,2026-06-30
458,4,1426,266,276,3,11,42,2026-06-30
459,4,1146,388,389,3,13,53,2026-06-30
460,4,1022,351,347,4,15,60,2026-06-30
461,4,1219,98,92,1,17,50,2026-06-30
462,4,1447,154,153,7,14,38,2026-06-30
463,4,1348,195,193,6,3,57,2026-06-30
464,4,1330,329,319,0,6,39,2026-06-30
465,4,1223,250,245,2,0,34,2026-06-30
466,4,1456,295,298,2,7,26,2026-06-30
467,4,1030,294,299,3,14,21,2026-06-30
468,4,1227,164,157,4,11,50,2026-06-30
469,4,1375,80,89,2,14,47,2026-06-30
470,4,1370,100,103,3,0,44,2026-06-30
471,4,1277,264,269,3,13,33,2026-06-30
472,4,1386,257,249,6,4,33,2026-06-30
473,4,1359,94,102,7,13,36,2026-06-30
474,4,1251,127,131,7,14,53,2026-06-30
475,4,1445,148,144,6,9,54,2026-06-30
476,4,1060,189,195,6,19,60,2026-06-30
477,4,1271,264,257,8,8,32,2026-06-30
478,4,1466,129,132,2,6,39,2026-06-30
479,4,1498,368,376,2,20,42,2026-06-30
480,4,1276,317,325,8,1,23,2026-06-30
481,4,1407,237,235,7,4,32,2026-06-30
482,4,1247,193,192,2,19,21,2026-06-30
483,4,1365,257,257,2,9,32,2026-06-30
484,4,1006,214,223,1,5,47,2026-06-30
485,4,1142,179,170,2,4,24,2026-06-30
486,4,1118,366,375,5,8,27,2026-06-30
487,4,1048,289,286,1,19,24,2026-06-30
488,4,1451,283,286,2,13,29,2026-06-30
489,4,1014,63,72,2,5,37,2026-06-30
490,4,1318,393,394,4,3,34,2026-06-30
491,4,1500,225,218,2,5,25,2026-06-30
492,4,1347,311,306,1,6,24,2026-06-30
493,4,1172,235,240,4,10,37,2026-06-30
494,4,1101,276,284,8,10,37,2026-06-30
495,4,1213,290,297,7,16,48,2026-06-30
496,4,1191,307,311,1,19,21,2026-06-30
497,4,1349,327,318,8,15,52,2026-06-30
498,4,1047,308,312,0,6,54,2026-06-30
499,4,1212,373,380,2,0,49,2026-06-30
500,4,1010,112,113,4,4,33,2026-06-30
501,4,1308,184,187,8,1,47,2026-06-30
502,4,1281,198,189,8,19,52,2026-06-30
503,4,1117,267,259,8,20,45,2026-06-30
504,4,1200,382,373,7,19,31,2026-06-30
505,4,1130,232,236,3,9,48,2026-06-30
506,4,1013,333,323,1,19,47,2026-06-30
507,4,1351,290,289,8,19,59,2026-06-30
508,4,1125,205,203,2,6,28,2026-06-30
509,4,1017,248,257,8,4,47,2026-06-30
510,4,1468,79,82,1,13,33,2026-06-30
511,4,1453,328,331,0,13,30,2026-06-30
512,4,1253,242,245,6,8,26,2026-06-30
513,4,1037,57,50,3,4,21,2026-06-30
514,4,1450,325,325,4,3,30,2026-06-30
515,4,1255,52,52,1,20,34,2026-06-30
516,4,1465,160,160,4,19,60,2026-06-30
517,4,1345,150,141,0,1,24,2026-06-30
518,4,1477,68,69,0,19,55,2026-06-30
519,4,1092,124,131,3,7,24,2026-06-30
520,4,1049,296,293,6,20,41,2026-06-30
521,4,1474,379,375,1,15,37,2026-06-30
522,4,1147,311,306,2,9,28,2026-06-30
523,4,1293,54,62,4,16,26,2026-06-30
524,4,1358,62,65,5,9,40,2026-06-30
525,4,1300,251,251,7,5,34,2026-06-30
526,4,1408,381,390,1,20,45,2026-06-30
527,4,1493,158,166,2,13,28,2026-06-30
528,4,1331,390,396,7,1,35,2026-06-30
529,4,1020,133,129,1,14,34,2026-06-30
530,4,1110,116,114,3,8,55,2026-06-30
531,4,1018,102,96,5,0,35,2026-06-30
532,4,1108,304,305,1,14,27,2026-06-30
533,4,1148,243,239,0,15,29,2026-06-30
534,4,1097,145,141,1,18,23,2026-06-30
535,4,1025,210,212,8,20,24,2026-06-30
536,4,1446,283,289,4,17,40,2026-06-30
537,4,1337,80,72,7,19,28,2026-06-30
538,4,1190,338,348,5,14,46,2026-06-30
539,4,1240,183,176,0,16,35,2026-06-30
540,4,1119,235,235,4,2,32,2026-06-30
541,4,1239,331,332,5,8,39,2026-06-30
542,4,1165,326,323,6,3,48,2026-06-30
543,4,1168,296,303,1,6,44,2026-06-30
544,4,1218,109,114,8,8,37,2026-06-30
545,4,1185,373,378,2,12,36,2026-06-30
546,4,1124,250,240,4,7,60,2026-06-30
547,4,1035,118,117,7,5,60,2026-06-30
548,4,1040,81,81,0,2,22,2026-06-30
549,4,1004,388,383,4,16,20,2026-06-30
550,4,1297,232,222,8,12,20,2026-06-30
551,4,1268,74,76,7,13,55,2026-06-30
552,4,1159,122,131,2,4,23,2026-06-30
553,4,1179,90,84,5,7,33,2026-06-30
554,4,1248,191,193,8,4,26,2026-06-30
555,4,1395,129,133,4,14,40,2026-06-30
556,4,1137,166,158,5,6,54,2026-06-30
557,4,1436,214,224,6,18,33,2026-06-30
558,4,1378,274,268,6,10,50,2026-06-30
559,4,1334,262,258,6,2,35,2026-06-30
560,4,1209,390,385,7,14,34,2026-06-30
561,4,1136,217,219,1,0,53,2026-06-30
562,4,1231,299,290,6,13,29,2026-06-30
563,4,1258,166,157,4,8,55,2026-06-30
564,4,1489,154,150,0,11,28,2026-06-30
565,4,1241,354,360,2,19,33,2026-06-30
566,4,1204,264,264,2,5,53,2026-06-30
567,4,1126,368,373,1,6,27,2026-06-30
568,4,1360,61,62,5,6,34,2026-06-30
569,4,1003,317,316,4,14,59,2026-06-30
570,4,1422,233,235,4,11,35,2026-06-30
571,4,1332,301,299,6,4,53,2026-06-30
572,4,1053,276,274,5,0,52,2026-06-30
573,4,1266,310,306,8,12,33,2026-06-30
574,4,1398,392,400,7,20,34,2026-06-30
575,4,1120,85,76,7,8,20,2026-06-30
576,4,1149,192,187,7,8,50,2026-06-30
577,4,1171,53,58,2,12,23,2026-06-30
578,4,1290,98,94,0,3,51,2026-06-30
