sku_id,product_name,category,brand,mrp,selling_price,weight,shelf_life_days,reorder_level,is_active
1078,Amul Product 78,Dairy,Amul,156,316,500g,113,26,True
1079,Amul Product 79,Dairy,Amul,218,54,1L,259,35,True
1080,Nestle Product 80,Dairy,Nestle,270,278,1L,166,14,True
1081,Amul Product 81,Dairy,Amul,129,172,1L,189,26,True
1082,Mother Dairy Product 82,Dairy,Mother Dairy,389,40,750ml,36,27,True
1083,Amul Product 83,Dairy,Amul,382,170,1L,327,38,True
1084,Amul Product 84,Dairy,Amul,344,403,1kg,101,38,True
1085,Amul Product 85,Dairy,Amul,59,326,1kg,55,13,True
1086,Nestle Product 86,Dairy,Nestle,207,235,1kg,224,27,True
1087,Nestle Product 87,Dairy,Nestle,377,71,750ml,313,20,True
1088,Mother Dairy Product 88,Dairy,Mother Dairy,166,440,250g,212,11,True
1089,Amul Product 89,Dairy,Amul,98,384,500g,221,26,True
1090,Mother Dairy Product 90,Dairy,Mother Dairy,58,279,500g,38,14,True
1091,Mother Dairy Product 91,Dairy,Mother Dairy,119,86,250g,273,13,True
1092,Mother Dairy Product 92,Dairy,Mother Dairy,155,230,750ml,127,26,True
1093,Mother Dairy Product 93,Dairy,Mother Dairy,312,435,1L,247,12,True
1094,Nestle Product 94,Dairy,Nestle,370,231,500g,365,35,True
1095,Nestle Product 95,Dairy,Nestle,91,212,750ml,127,23,True
1096,Amul Product 96,Dairy,Amul,33,67,500g,125,31,True
1097,Mother Dairy Product 97,Dairy,Mother Dairy,116,371,500g,199,23,True
1098,Nestle Product 98,Dairy,Nestle,299,153,750ml,316,33,True
1099,Nestle Product 99,Dairy,Nestle,211,287,750ml,108,18,True
1100,Amul Product 100,Dairy,Amul,136,231,250g,67,11,True
1101,Aashirvaad Product 1,Grocery,Aashirvaad,363,247,1L,190,32,True
1102,Aashirvaad Product 2,Grocery,Aashirvaad,205,38,750ml,256,16,True
1103,Fortune Product 3,Grocery,Fortune,62,238,750ml,67,19,True
1104,Tata Product 4,Grocery,Tata,294,209,750ml,96,25,True
1105,Aashirvaad Product 5,Grocery,Aashirvaad,346,327,1L,251,39,True
1106,Tata Product 6,Grocery,Tata,365,344,500g,259,11,True
1107,Aashirvaad Product 7,Grocery,Aashirvaad,63,397,750ml,146,22,True
1108,Tata Product 8,Grocery,Tata,328,243,1L,148,10,True
1109,Aashirvaad Product 9,Grocery,Aashirvaad,110,302,1kg,20,19,True
1110,Aashirvaad Product 10,Grocery,Aashirvaad,84,275,1kg,297,35,True
1111,Fortune Product 11,Grocery,Fortune,83,92,250g,209,15,True
1112,Aashirvaad Product 12,Grocery,Aashirvaad,301,198,250g,144,19,True
1113,Fortune Product 13,Grocery,Fortune,191,136,1kg,193,28,True
1114,Fortune Product 14,Grocery,Fortune,262,55,750ml,51,22,True
1115,Aashirvaad Product 15,Grocery,Aashirvaad,186,219,1L,258,13,True
1116,Aashirvaad Product 16,Grocery,Aashirvaad,235,99,750ml,323,13,True
1117,Tata Product 17,Grocery,Tata,486,67,250g,279,31,True
1118,Tata Product 18,Grocery,Tata,252,434,1kg,264,23,True
1119,Aashirvaad Product 19,Grocery,Aashirvaad,422,223,500g,31,31,True
1120,Fortune Product 20,Grocery,Fortune,106,428,750ml,93,32,True
1121,Tata Product 21,Grocery,Tata,211,214,1L,240,23,True
1122,Fortune Product 22,Grocery,Fortune,425,278,750ml,33,22,True
1123,Fortune Product 23,Grocery,Fortune,66,134,250g,234,11,True
1124,Aashirvaad Product 24,Grocery,Aashirvaad,181,249,250g,249,14,True
1125,Tata Product 25,Grocery,Tata,359,45,1kg,309,18,True
1126,Tata Product 26,Grocery,Tata,246,380,250g,286,30,True
1127,Tata Product 27,Grocery,Tata,265,288,1kg,354,13,True
1128,Aashirvaad Product 28,Grocery,Aashirvaad,402,240,250g,307,13,True
1129,Tata Product 29,Grocery,Tata,163,315,1kg,142,26,True
1130,Tata Product 30,Grocery,Tata,262,33,1L,287,16,True
1131,Tata Product 31,Grocery,Tata,110,281,250g,327,20,True
1132,Aashirvaad Product 32,Grocery,Aashirvaad,395,172,250g,160,39,True
1133,Tata Product 33,Grocery,Tata,345,188,250g,233,20,True
1134,Aashirvaad Product 34,Grocery,Aashirvaad,450,407,1kg,143,21,True
1135,Fortune Product 35,Grocery,Fortune,285,307,1kg,231,20,True
1136,Tata Product 36,Grocery,Tata,116,342,750ml,149,28,True
1137,Aashirvaad Product 37,Grocery,Aashirvaad,376,421,500g,297,11,True
1138,Tata Product 38,Grocery,Tata,354,281,500g,336,33,True
1139,Fortune Product 39,Grocery,Fortune,481,157,250g,244,31,True
1140,Aashirvaad Product 40,Grocery,Aashirvaad,300,422,250g,295,21,True
1141,Aashirvaad Product 41,Grocery,Aashirvaad,76,433,500g,190,10,True
1142,Tata Product 42,Grocery,Tata,180,124,1kg,361,15,True
1143,Tata Product 43,Grocery,Tata,217,353,500g,222,25,True
1144,Aashirvaad Product 44,Grocery,Aashirvaad,290,42,1L,149,18,True
1145,Aashirvaad Product 45,Grocery,Aashirvaad,175,328,250g,91,24,True
1146,Aashirvaad Product 46,Grocery,Aashirvaad,139,417,500g,217,12,True
1147,Aashirvaad Product 47,Grocery,Aashirvaad,373,170,1L,129,15,True
1148,Tata Product 48,Grocery,Tata,394,19,750ml,268,14,True
1149,Fortune Product 49,Grocery,Fortune,73,257,1L,143,30,True
1150,Tata Product 50,Grocery,Tata,349,191,750ml,194,31,True
1151,Aashirvaad Product 51,Grocery,Aashirvaad,416,208,750ml,261,25,True
1152,Aashirvaad Product 52,Grocery,Aashirvaad,27,301,250g,243,40,True
1153,Tata Product 53,Grocery,Tata,130,336,250g,143,22,True
1154,Fortune Product 54,Grocery,Fortune,356,405,1kg,324,40,True
1155,Tata Product 55,Grocery,Tata,170,35,500g,230,19,True
1156,Aashirvaad Product 56,Grocery,Aashirvaad,330,354,750ml,158,17,True
1157,Tata Product 57,Grocery,Tata,101,175,500g,195,28,True
1158,Tata Product 58,Grocery,Tata,51,77,750ml,211,20,True
1159,Fortune Product 59,Grocery,Fortune,197,129,500g,264,33,True
1160,Aashirvaad Product 60,Grocery,Aashirvaad,465,208,750ml,243,37,True
1161,Aashirvaad Product 61,Grocery,Aashirvaad,114,439,750ml,8,12,True
1162,Tata Product 62,Grocery,Tata,322,250,750ml,237,39,True
1163,Tata Product 63,Grocery,Tata,476,31,1kg,77,27,True
1164,Tata Product 64,Grocery,Tata,352,61,750ml,7,25,True
1165,Tata Product 65,Grocery,Tata,404,282,250g,130,33,True
1166,Aashirvaad Product 66,Grocery,Aashirvaad,323,312,1L,308,18,True
1167,Tata Product 67,Grocery,Tata,103,151,250g,291,18,True
1168,Fortune Product 68,Grocery,Fortune,75,321,500g,194,26,True
1169,Fortune Product 69,Grocery,Fortune,187,39,1kg,67,39,True
1170,Tata Product 70,Grocery,Tata,85,40,1kg,170,31,True
1171,Fortune Product 71,Grocery,Fortune,75,225,250g,314,18,True
1172,Aashirvaad Product 72,Grocery,Aashirvaad,500,305,750ml,216,20,True
1173,Aashirvaad Product 73,Grocery,Aashirvaad,147,328,500g,124,34,True
1174,Tata Product 74,Grocery,Tata,294,200,1L,118,25,True
1175,Aashirvaad Product 75,Grocery,Aashirvaad,149,122,1L,173,39,True
1176,Tata Product 76,Grocery,Tata,216,132,1L,248,40,True
1177,Aashirvaad Product 77,Grocery,Aashirvaad,135,408,750ml,113,25,True
1178,Tata Product 78,Grocery,Tata,149,149,250g,39,32,True
1179,Tata Product 79,Grocery,Tata,453,335,250g,235,29,True
1180,Aashirvaad Product 80,Grocery,Aashirvaad,65,150,1kg,347,27,True
1181,Aashirvaad Product 81,Grocery,Aashirvaad,138,51,1L,304,37,True
1182,Fortune Product 82,Grocery,Fortune,325,116,1L,292,30,True
1183,Aashirvaad Product 83,Grocery,Aashirvaad,179,35,1L,156,40,True
1184,Aashirvaad Product 84,Grocery,Aashirvaad,327,157,500g,331,29,True
1185,Tata Product 85,Grocery,Tata,469,86,1L,225,33,True
1186,Fortune Product 86,Grocery,Fortune,445,223,1kg,224,10,True
1187,Fortune Product 87,Grocery,Fortune,216,98,500g,149,17,True
1188,Fortune Product 88,Grocery,Fortune,303,128,1kg,56,22,True
1189,Fortune Product 89,Grocery,Fortune,483,186,1kg,277,12,True
1190,Tata Product 90,Grocery,Tata,388,182,1kg,64,31,True
1191,Aashirvaad Product 91,Grocery,Aashirvaad,97,216,750ml,77,20,True
1192,Aashirvaad Product 92,Grocery,Aashirvaad,243,238,500g,296,38,True
1193,Tata Product 93,Grocery,Tata,108,414,500g,317,37,True
1194,Tata Product 94,Grocery,Tata,146,365,250g,89,18,True
1195,Fortune Product 95,Grocery,Fortune,256,416,500g,112,25,True
1196,Aashirvaad Product 96,Grocery,Aashirvaad,138,367,250g,81,30,True
1197,Aashirvaad Product 97,Grocery,Aashirvaad,251,337,1kg,206,23,True
1198,Aashirvaad Product 98,Grocery,Aashirvaad,245,356,250g,348,19,True
1199,Tata Product 99,Grocery,Tata,322,107,250g,178,21,True
1200,Fortune Product 100,Grocery,Fortune,500,370,750ml,303,11,True
1201,Lay's Product 1,Snacks,Lay's,458,244,1kg,300,40,True
1202,Bingo Product 2,Snacks,Bingo,281,303,500g,333,10,True
1203,Kurkure Product 3,Snacks,Kurkure,410,271,750ml,72,30,True
1204,Lay's Product 4,Snacks,Lay's,291,267,1L,285,34,True
1205,Kurkure Product 5,Snacks,Kurkure,342,445,1L,234,32,True
1206,Lay's Product 6,Snacks,Lay's,239,287,1L,130,39,True
1207,Kurkure Product 7,Snacks,Kurkure,326,298,500g,327,14,True
1208,Bingo Product 8,Snacks,Bingo,173,259,1kg,62,35,True
1209,Bingo Product 9,Snacks,Bingo,313,114,750ml,311,27,True
1210,Lay's Product 10,Snacks,Lay's,317,352,750ml,161,33,True
1211,Lay's Product 11,Snacks,Lay's,429,102,1kg,53,24,True
1212,Lay's Product 12,Snacks,Lay's,89,372,250g,362,38,True
1213,Bingo Product 13,Snacks,Bingo,267,98,750ml,348,27,True
1214,Lay's Product 14,Snacks,Lay's,65,113,1kg,357,33,True
1215,Lay's Product 15,Snacks,Lay's,458,412,500g,94,24,True
1216,Lay's Product 16,Snacks,Lay's,252,423,750ml,196,17,True
1217,Bingo Product 17,Snacks,Bingo,233,131,1kg,354,26,True
1218,Lay's Product 18,Snacks,Lay's,393,108,250g,128,34,True
1219,Lay's Product 19,Snacks,Lay's,210,317,500g,249,17,True
1220,Kurkure Product 20,Snacks,Kurkure,225,361,1kg,336,39,True
1221,Kurkure Product 21,Snacks,Kurkure,351,273,750ml,140,11,True
1222,Lay's Product 22,Snacks,Lay's,43,278,1kg,35,13,True
1223,Lay's Product 23,Snacks,Lay's,303,185,250g,312,16,True
1224,Kurkure Product 24,Snacks,Kurkure,481,268,250g,196,15,True
1225,Bingo Product 25,Snacks,Bingo,240,264,750ml,172,38,True
1226,Bingo Product 26,Snacks,Bingo,418,170,1kg,260,24,True
1227,Lay's Product 27,Snacks,Lay's,467,89,750ml,246,18,True
1228,Lay's Product 28,Snacks,Lay's,124,384,1L,163,18,True
1229,Bingo Product 29,Snacks,Bingo,435,194,1kg,121,20,True
1230,Lay's Product 30,Snacks,Lay's,351,309,1L,267,26,True
1231,Lay's Product 31,Snacks,Lay's,39,236,1L,37,34,True
1232,Bingo Product 32,Snacks,Bingo,141,354,250g,268,39,True
1233,Bingo Product 33,Snacks,Bingo,53,350,750ml,277,35,True
1234,Lay's Product 34,Snacks,Lay's,335,200,250g,234,33,True
1235,Kurkure Product 35,Snacks,Kurkure,221,309,750ml,122,27,True
1236,Lay's Product 36,Snacks,Lay's,321,197,500g,9,38,True
1237,Bingo Product 37,Snacks,Bingo,362,417,250g,343,26,True
1238,Kurkure Product 38,Snacks,Kurkure,258,222,500g,7,36,True
1239,Bingo Product 39,Snacks,Bingo,86,224,500g,89,31,True
1240,Bingo Product 40,Snacks,Bingo,421,204,1L,331,18,True
1241,Kurkure Product 41,Snacks,Kurkure,336,164,500g,84,29,True
1242,Kurkure Product 42,Snacks,Kurkure,173,73,750ml,289,37,True
1243,Lay's Product 43,Snacks,Lay's,460,242,1kg,103,13,True
1244,Lay's Product 44,Snacks,Lay's,142,282,1L,255,37,True
1245,Bingo Product 45,Snacks,Bingo,307,176,1L,124,19,True
1246,Lay's Product 46,Snacks,Lay's,473,62,250g,200,16,True
1247,Kurkure Product 47,Snacks,Kurkure,110,205,250g,347,30,True
1248,Kurkure Product 48,Snacks,Kurkure,291,160,750ml,54,37,True
1249,Lay's Product 49,Snacks,Lay's,205,183,500g,150,30,True
1250,Lay's Product 50,Snacks,Lay's,324,85,1L,350,23,True
1251,Kurkure Product 51,Snacks,Kurkure,391,275,1kg,77,10,True
1252,Lay's Product 52,Snacks,Lay's,65,272,1L,81,10,True
1253,Lay's Product 53,Snacks,Lay's,222,337,1kg,258,21,True
1254,Bingo Product 54,Snacks,Bingo,105,182,1kg,283,21,True
1255,Kurkure Product 55,Snacks,Kurkure,435,440,750ml,81,24,True
1256,Lay's Product 56,Snacks,Lay's,352,395,1L,228,14,True
1257,Kurkure Product 57,Snacks,Kurkure,320,75,750ml,229,16,True
1258,Kurkure Product 58,Snacks,Kurkure,194,448,250g,69,30,True
1259,Kurkure Product 59,Snacks,Kurkure,175,304,1L,323,25,True
1260,Lay's Product 60,Snacks,Lay's,490,168,500g,190,19,True
1261,Bingo Product 61,Snacks,Bingo,183,303,750ml,93,23,True
1262,Kurkure Product 62,Snacks,Kurkure,495,227,1L,253,34,True
1263,Bingo Product 63,Snacks,Bingo,42,136,750ml,54,36,True
1264,Kurkure Product 64,Snacks,Kurkure,475,144,750ml,269,36,True
1265,Lay's Product 65,Snacks,Lay's,357,214,750ml,21,22,True
1266,Kurkure Product 66,Snacks,Kurkure,144,138,250g,13,28,True
1267,Kurkure Product 67,Snacks,Kurkure,371,415,1kg,258,39,True
1268,Bingo Product 68,Snacks,Bingo,92,347,1L,147,14,True
1269,Lay's Product 69,Snacks,Lay's,104,357,250g,363,21,True
1270,Kurkure Product 70,Snacks,Kurkure,21,145,250g,159,18,True
1271,Kurkure Product 71,Snacks,Kurkure,403,355,1kg,240,20,True
1272,Lay's Product 72,Snacks,Lay's,296,400,1L,300,29,True
1273,Bingo Product 73,Snacks,Bingo,464,63,500g,55,23,True
1274,Lay's Product 74,Snacks,Lay's,341,264,250g,302,10,True
1275,Lay's Product 75,Snacks,Lay's,152,186,750ml,356,37,True
1276,Kurkure Product 76,Snacks,Kurkure,427,22,750ml,355,26,True
1277,Bingo Product 77,Snacks,Bingo,416,60,1L,13,22,True
1278,Bingo Product 78,Snacks,Bingo,482,145,750ml,316,22,True
1279,Lay's Product 79,Snacks,Lay's,387,104,1kg,162,19,True
1280,Bingo Product 80,Snacks,Bingo,207,184,1L,277,40,True
1281,Kurkure Product 81,Snacks,Kurkure,98,42,750ml,314,23,True
1282,Lay's Product 82,Snacks,Lay's,261,175,1L,12,40,True
1283,Lay's Product 83,Snacks,Lay's,178,28,1L,187,23,True
1284,Bingo Product 84,Snacks,Bingo,99,109,1kg,64,39,True
1285,Bingo Product 85,Snacks,Bingo,427,120,750ml,27,17,True
1286,Kurkure Product 86,Snacks,Kurkure,424,373,500g,319,28,True
1287,Lay's Product 87,Snacks,Lay's,197,344,500g,20,28,True
1288,Lay's Product 88,Snacks,Lay's,336,134,1kg,294,16,True
1289,Kurkure Product 89,Snacks,Kurkure,351,385,1kg,297,37,True
1290,Lay's Product 90,Snacks,Lay's,356,341,750ml,251,13,True
1291,Lay's Product 91,Snacks,Lay's,23,399,500g,40,21,True
1292,Kurkure Product 92,Snacks,Kurkure,392,267,750ml,349,14,True
1293,Bingo Product 93,Snacks,Bingo,416,160,1kg,140,25,True
1294,Lay's Product 94,Snacks,Lay's,357,333,250g,302,34,True
1295,Bingo Product 95,Snacks,Bingo,114,132,250g,42,38,True
1296,Kurkure Product 96,Snacks,Kurkure,177,439,1L,329,40,True
1297,Lay's Product 97,Snacks,Lay's,290,50,750ml,89,26,True
1298,Lay's Product 98,Snacks,Lay's,35,320,1kg,247,16,True
1299,Bingo Product 99,Snacks,Bingo,183,245,750ml,287,18,True
1300,Bingo Product 100,Snacks,Bingo,334,56,1L,86,22,True
1301,Pepsi Product 1,Beverages,Pepsi,316,103,1kg,332,19,True
1302,Bisleri Product 2,Beverages,Bisleri,117,336,750ml,280,33,True
1303,Pepsi Product 3,Beverages,Pepsi,190,133,1kg,285,33,True
1304,Pepsi Product 4,Beverages,Pepsi,429,411,1L,64,36,True
1305,Coca-Cola Product 5,Beverages,Coca-Cola,34,72,1L,336,10,True
1306,Coca-Cola Product 6,Beverages,Coca-Cola,118,24,1L,354,25,True
1307,Pepsi Product 7,Beverages,Pepsi,45,339,250g,173,16,True
1308,Coca-Cola Product 8,Beverages,Coca-Cola,360,359,1kg,151,39,True
1309,Coca-Cola Product 9,Beverages,Coca-Cola,464,18,750ml,334,39,True
1310,Pepsi Product 10,Beverages,Pepsi,302,164,750ml,294,28,True
1311,Pepsi Product 11,Beverages,Pepsi,22,189,500g,33,35,True
1312,Coca-Cola Product 12,Beverages,Coca-Cola,269,280,1L,272,17,True
1313,Coca-Cola Product 13,Beverages,Coca-Cola,405,212,1kg,172,12,True
1314,Bisleri Product 14,Beverages,Bisleri,419,274,750ml,276,29,True
1315,Coca-Cola Product 15,Beverages,Coca-Cola,370,26,500g,228,20,True
1316,Pepsi Product 16,Beverages,Pepsi,226,374,1L,152,24,True
1317,Pepsi Product 17,Beverages,Pepsi,328,284,750ml,142,22,True
1318,Bisleri Product 18,Beverages,Bisleri,48,448,1kg,233,33,True
1319,Pepsi Product 19,Beverages,Pepsi,321,430,1kg,61,24,True
1320,Coca-Cola Product 20,Beverages,Coca-Cola,100,192,1kg,122,27,True
1321,Pepsi Product 21,Beverages,Pepsi,277,372,250g,127,16,True
1322,Pepsi Product 22,Beverages,Pepsi,470,187,500g,55,16,True
1323,Bisleri Product 23,Beverages,Bisleri,365,42,750ml,337,23,True
1324,Bisleri Product 24,Beverages,Bisleri,110,202,1kg,238,38,True
1325,Bisleri Product 25,Beverages,Bisleri,234,441,250g,323,31,True
1326,Pepsi Product 26,Beverages,Pepsi,113,366,750ml,65,33,True
1327,Coca-Cola Product 27,Beverages,Coca-Cola,26,189,750ml,302,25,True
1328,Coca-Cola Product 28,Beverages,Coca-Cola,161,213,750ml,352,12,True
1329,Pepsi Product 29,Beverages,Pepsi,278,145,1kg,90,19,True
1330,Coca-Cola Product 30,Beverages,Coca-Cola,479,264,750ml,148,17,True
1331,Bisleri Product 31,Beverages,Bisleri,135,296,1L,47,12,True
1332,Pepsi Product 32,Beverages,Pepsi,41,70,1L,306,21,True
1333,Bisleri Product 33,Beverages,Bisleri,433,118,250g,220,40,True
1334,Pepsi Product 34,Beverages,Pepsi,90,139,750ml,26,11,True
1335,Bisleri Product 35,Beverages,Bisleri,450,127,500g,303,12,True
1336,Bisleri Product 36,Beverages,Bisleri,434,363,1L,174,25,True
1337,Pepsi Product 37,Beverages,Pepsi,80,203,250g,25,14,True
1338,Bisleri Product 38,Beverages,Bisleri,124,121,1kg,226,30,True
1339,Coca-Cola Product 39,Beverages,Coca-Cola,417,88,500g,127,27,True
1340,Pepsi Product 40,Beverages,Pepsi,439,256,750ml,39,23,True
1341,Coca-Cola Product 41,Beverages,Coca-Cola,239,102,250g,284,38,True
1342,Pepsi Product 42,Beverages,Pepsi,59,418,1L,265,26,True
1343,Coca-Cola Product 43,Beverages,Coca-Cola,112,116,250g,279,18,True
1344,Coca-Cola Product 44,Beverages,Coca-Cola,257,224,750ml,195,12,True
1345,Bisleri Product 45,Beverages,Bisleri,239,410,1kg,184,23,True
1346,Bisleri Product 46,Beverages,Bisleri,242,375,1kg,204,26,True
1347,Pepsi Product 47,Beverages,Pepsi,47,418,500g,102,20,True
1348,Bisleri Product 48,Beverages,Bisleri,224,176,750ml,140,40,True
1349,Pepsi Product 49,Beverages,Pepsi,138,45,500g,44,33,True
1350,Pepsi Product 50,Beverages,Pepsi,428,341,1kg,73,37,True
1351,Pepsi Product 51,Beverages,Pepsi,28,360,750ml,107,25,True
1352,Coca-Cola Product 52,Beverages,Coca-Cola,317,353,750ml,69,24,True
1353,Bisleri Product 53,Beverages,Bisleri,35,69,1kg,279,36,True
1354,Bisleri Product 54,Beverages,Bisleri,432,347,1L,322,14,True
1355,Bisleri Product 55,Beverages,Bisleri,318,346,1L,116,38,True
1356,Bisleri Product 56,Beverages,Bisleri,372,298,1L,124,21,True
1357,Coca-Cola Product 57,Beverages,Coca-Cola,101,440,250g,324,13,True
1358,Bisleri Product 58,Beverages,Bisleri,181,321,750ml,287,22,True
1359,Pepsi Product 59,Beverages,Pepsi,26,47,1kg,247,33,True
1360,Pepsi Product 60,Beverages,Pepsi,115,31,500g,340,40,True
1361,Bisleri Product 61,Beverages,Bisleri,419,149,250g,102,34,True
1362,Coca-Cola Product 62,Beverages,Coca-Cola,395,182,250g,61,30,True
1363,Coca-Cola Product 63,Beverages,Coca-Cola,205,235,750ml,317,34,True
1364,Pepsi Product 64,Beverages,Pepsi,185,125,1kg,121,10,True
1365,Pepsi Product 65,Beverages,Pepsi,56,260,500g,109,13,True
1366,Bisleri Product 66,Beverages,Bisleri,475,129,250g,209,27,True
1367,Bisleri Product 67,Beverages,Bisleri,381,251,1L,99,17,True
1368,Coca-Cola Product 68,Beverages,Coca-Cola,334,302,1L,331,28,True
1369,Coca-Cola Product 69,Beverages,Coca-Cola,36,235,500g,140,30,True
1370,Coca-Cola Product 70,Beverages,Coca-Cola,115,300,1L,262,17,True
1371,Pepsi Product 71,Beverages,Pepsi,136,75,750ml,183,13,True
1372,Pepsi Product 72,Beverages,Pepsi,360,435,1L,363,25,True
1373,Pepsi Product 73,Beverages,Pepsi,421,27,500g,107,12,True
1374,Coca-Cola Product 74,Beverages,Coca-Cola,427,143,1L,271,34,True
